2015-01-16T10:15:10.391+0800: 72265.107: [GC [PSYoungGen: 563303K->97629K(577536K)] 2529367K->2064371K(3991040K), 0.0660950 secs] [Times: user=0.42 sys=0.01, real=0.06 secs] 
2015-01-16T10:17:45.956+0800: 72420.672: [GC [PSYoungGen: 569693K->99643K(571904K)] 2536435K->2067032K(3985408K), 0.0730110 secs] [Times: user=0.56 sys=0.00, real=0.08 secs] 
2015-01-16T10:20:22.122+0800: 72576.838: [GC [PSYoungGen: 571707K->94414K(577536K)] 2539096K->2062826K(3991040K), 0.0580250 secs] [Times: user=0.42 sys=0.00, real=0.05 secs] 
2015-01-16T10:32:09.259+0800: 73283.975: [GC [PSYoungGen: 565454K->79469K(550912K)] 2533866K->2049991K(3964416K), 0.0514620 secs] [Times: user=0.38 sys=0.01, real=0.06 secs] 
2015-01-16T10:34:29.086+0800: 73423.802: [GC [PSYoungGen: 550509K->98224K(574976K)] 2521031K->2069616K(3988480K), 0.0663910 secs] [Times: user=0.54 sys=0.01, real=0.07 secs] 
2015-01-16T10:37:08.919+0800: 73583.635: [GC [PSYoungGen: 566192K->100928K(569344K)] 2537584K->2073069K(3982848K), 0.0638530 secs] [Times: user=0.43 sys=0.00, real=0.07 secs] 
2015-01-16T10:40:13.368+0800: 73768.084: [GC [PSYoungGen: 568896K->93638K(575488K)] 2541037K->2066394K(3988992K), 0.0632520 secs] [Times: user=0.56 sys=0.01, real=0.07 secs] 
2015-01-16T10:43:08.149+0800: 73942.865: [GC [PSYoungGen: 560582K->93031K(574464K)] 2533338K->2066314K(3987968K), 0.0717440 secs] [Times: user=0.47 sys=0.19, real=0.07 secs] 
2015-01-16T10:46:12.740+0800: 74127.456: [GC [PSYoungGen: 559975K->90205K(577024K)] 2533258K->2064285K(3990528K), 0.0608270 secs] [Times: user=0.46 sys=0.00, real=0.06 secs] 
2015-01-16T10:48:50.102+0800: 74284.817: [GC [PSYoungGen: 560733K->97163K(576512K)] 2534813K->2071979K(3990016K), 0.0659120 secs] [Times: user=0.54 sys=0.01, real=0.06 secs] 
2015-01-16T10:51:25.962+0800: 74440.678: [GC [PSYoungGen: 567691K->98194K(576000K)] 2542507K->2075159K(3989504K), 0.0719500 secs] [Times: user=0.52 sys=0.01, real=0.07 secs] 
2015-01-16T10:54:51.606+0800: 74646.322: [GC [PSYoungGen: 568210K->99018K(569344K)] 2545175K->2076580K(3982848K), 0.0649340 secs] [Times: user=0.52 sys=0.01, real=0.07 secs] 
2015-01-16T10:58:08.689+0800: 74843.404: [GC [PSYoungGen: 569034K->96670K(577024K)] 2546596K->2074957K(3990528K), 0.0603940 secs] [Times: user=0.41 sys=0.00, real=0.07 secs] 
2015-01-16T11:01:03.914+0800: 75018.629: [GC [PSYoungGen: 566686K->94992K(576000K)] 2544973K->2074038K(3989504K), 0.0594030 secs] [Times: user=0.42 sys=0.02, real=0.06 secs] 
2015-01-16T11:03:54.545+0800: 75189.261: [GC [PSYoungGen: 565008K->92467K(578560K)] 2544054K->2072195K(3992064K), 0.0603550 secs] [Times: user=0.42 sys=0.00, real=0.06 secs] 
2015-01-16T11:06:54.370+0800: 75369.086: [GC [PSYoungGen: 566067K->93950K(578048K)] 2545795K->2074284K(3991552K), 0.0693340 secs] [Times: user=0.66 sys=0.02, real=0.06 secs] 
2015-01-16T11:09:46.491+0800: 75541.207: [GC [PSYoungGen: 567550K->89623K(579072K)] 2547884K->2071398K(3992576K), 0.0632470 secs] [Times: user=0.43 sys=0.09, real=0.06 secs] 
2015-01-16T11:12:04.963+0800: 75679.678: [GC [PSYoungGen: 564759K->99128K(574464K)] 2546534K->2082015K(3987968K), 0.0666700 secs] [Times: user=0.36 sys=0.13, real=0.07 secs] 
2015-01-16T11:15:09.426+0800: 75864.142: [GC [PSYoungGen: 574264K->100900K(576000K)] 2557151K->2084387K(3989504K), 0.0707030 secs] [Times: user=0.55 sys=0.02, real=0.07 secs] 
2015-01-16T11:18:21.273+0800: 76055.989: [GC [PSYoungGen: 571940K->98759K(569856K)] 2555427K->2084234K(3983360K), 0.0714960 secs] [Times: user=0.49 sys=0.06, real=0.07 secs] 
2015-01-16T11:21:19.427+0800: 76234.143: [GC [PSYoungGen: 569799K->92120K(577024K)] 2555274K->2078310K(3990528K), 0.0607600 secs] [Times: user=0.35 sys=0.07, real=0.06 secs] 
